,negative,neutral,positive,class
0,0.020963853,0.6143919,0.36464426,neutral
1,0.1408637,0.262626,0.59651023,positive
2,0.06784265,0.18174091,0.7504164,positive
3,0.062174913,0.57587624,0.3619489,neutral
4,0.8551632,0.11985233,0.02498453,negative
5,0.097479254,0.08433403,0.8181867,positive
6,0.81966,0.15986384,0.020476095,negative
7,0.00936688,0.033127077,0.95750606,positive
8,0.67788875,0.21220957,0.10990176,negative
9,0.92644507,0.06570074,0.007854198,negative
10,0.013891674,0.26768327,0.71842504,positive
11,0.006398075,0.28327963,0.7103223,positive
12,0.83330464,0.15085183,0.015843578,negative
13,0.83627903,0.14732678,0.01639418,negative
14,0.011446341,0.1769469,0.8116068,positive
15,0.8229512,0.15696721,0.020081619,negative
16,0.71706754,0.23724258,0.045689933,negative
17,0.0035301375,0.01037586,0.986094,positive
18,0.9145715,0.07374927,0.011679233,negative
19,0.83400387,0.1548957,0.011100423,negative
20,0.90943545,0.077700496,0.012864122,negative
21,0.09248473,0.1341717,0.7733436,positive
22,0.6135257,0.26987523,0.11659906,negative
23,0.8181914,0.13912591,0.042682648,negative
24,0.7866784,0.15428221,0.059039347,negative
25,0.90308505,0.08766038,0.009254511,negative
26,0.6520145,0.2457495,0.10223598,negative
27,0.85711014,0.12796678,0.014923038,negative
28,0.37121823,0.302065,0.32671678,negative
29,0.10304427,0.20543246,0.69152325,positive
30,0.88762724,0.10399524,0.008377539,negative
31,0.07822943,0.10841663,0.81335396,positive
32,0.2902617,0.16202272,0.5477156,positive
33,0.3898919,0.29587156,0.31423655,negative
34,0.9229276,0.06851164,0.008560744,negative
35,0.6187771,0.3506577,0.030565223,negative
36,0.7941059,0.14445744,0.06143666,negative
37,0.90375096,0.08230635,0.013942704,negative
38,0.8853776,0.104164004,0.010458516,negative
39,0.8713277,0.1105856,0.01808674,negative
40,0.8864615,0.09933862,0.0141998865,negative
41,0.0041831275,0.007564271,0.9882526,positive
42,0.7232938,0.18940756,0.08729861,negative
43,0.8720728,0.1021567,0.02577039,negative
44,0.8649404,0.11108876,0.023970863,negative
45,0.32418498,0.2682871,0.40752792,positive
46,0.7222707,0.23393565,0.043793686,negative
47,0.3799498,0.44423893,0.17581126,neutral
48,0.41086978,0.40759417,0.18153605,negative
49,0.77162915,0.19244885,0.035922043,negative
50,0.7776315,0.14914463,0.073223844,negative
51,0.91050446,0.07655391,0.01294163,negative
52,0.77101815,0.1473968,0.081585065,negative
53,0.7368207,0.16299501,0.10018425,negative
54,0.86126053,0.10594252,0.0327969,negative
55,0.7433341,0.16387208,0.09279376,negative
56,0.933213,0.05509782,0.0116891395,negative
57,0.8769235,0.099968456,0.023108136,negative
58,0.0044338843,0.008908524,0.98665756,positive
59,0.07557051,0.103233285,0.8211962,positive
60,0.9097866,0.079401575,0.0108119035,negative
61,0.9087185,0.082232565,0.009048991,negative
62,0.61377627,0.26566917,0.120554514,negative
63,0.6942798,0.20973572,0.095984414,negative
64,0.7306282,0.20602068,0.06335119,negative
65,0.88273335,0.09271737,0.024549277,negative
66,0.892036,0.09728978,0.010674236,negative
67,0.01077131,0.11338783,0.87584084,positive
68,0.4120543,0.26290542,0.3250403,negative
69,0.82468903,0.13975026,0.035560746,negative
70,0.87903315,0.105986446,0.014980419,negative
71,0.6961833,0.24527206,0.058544602,negative
72,0.11390164,0.6334572,0.25264117,neutral
73,0.58183765,0.23086074,0.18730165,negative
74,0.17546251,0.26289225,0.5616452,positive
75,0.9176446,0.06939383,0.0129614705,negative
76,0.0046927086,0.057110053,0.9381972,positive
77,0.88332856,0.09522491,0.021446507,negative
78,0.33511454,0.36616924,0.29871622,neutral
79,0.5392677,0.25349385,0.20723847,negative
80,0.42742282,0.32389536,0.24868183,negative
81,0.42568883,0.32853696,0.24577418,negative
82,0.83547014,0.14710219,0.017427636,negative
83,0.87685215,0.114333555,0.008814332,negative
84,0.5810015,0.21024893,0.20874959,negative
85,0.8788787,0.09934301,0.021778375,negative
86,0.20959803,0.17744175,0.6129602,positive
87,0.7719322,0.20361963,0.024448188,negative
88,0.90048724,0.089219324,0.010293409,negative
89,0.15869045,0.21886507,0.6224445,positive
90,0.82909006,0.15517747,0.01573254,negative
91,0.013011603,0.039193925,0.9477945,positive
92,0.66543597,0.24734604,0.087217964,negative
93,0.7556744,0.19866982,0.04565578,negative
94,0.20616461,0.1814207,0.6124147,positive
95,0.0025630128,0.018849527,0.97858745,positive
96,0.008526741,0.09172107,0.89975214,positive
97,0.8176868,0.1633757,0.018937483,negative
98,0.5105285,0.3756809,0.11379062,negative
99,0.5710625,0.24397819,0.18495928,negative
