,negative,neutral,positive,class
0,0.04005344,0.76493615,0.19501038,neutral
1,0.6047332,0.3656621,0.029604727,negative
2,0.014200502,0.73612577,0.2496737,neutral
3,0.424022,0.53131956,0.044658456,neutral
4,0.100492425,0.7779285,0.12157912,neutral
5,0.7498876,0.22776689,0.02234553,negative
6,0.0035619773,0.049141143,0.9472969,positive
7,0.004208405,0.062619045,0.9331725,positive
8,0.008257801,0.060983147,0.930759,positive
9,0.0040595117,0.01712173,0.9788188,positive
10,0.009086779,0.17606011,0.81485313,positive
11,0.11589223,0.72609836,0.15800938,neutral
12,0.7910517,0.18219645,0.026751934,negative
13,0.63725275,0.33835316,0.024394045,negative
14,0.043970246,0.50429326,0.4517365,neutral
15,0.5143115,0.4483764,0.03731209,negative
16,0.083311655,0.8129487,0.103739604,neutral
17,0.05505802,0.7709562,0.17398578,neutral
18,0.012043791,0.19114722,0.79680896,positive
19,0.0148613965,0.40512794,0.58001065,positive
20,0.055483956,0.59159267,0.3529234,neutral
21,0.8462713,0.13813931,0.015589422,negative
22,0.0028262564,0.08952581,0.9076479,positive
23,0.01839488,0.802794,0.1788111,neutral
24,0.03983251,0.8214272,0.13874026,neutral
25,0.2318197,0.66906214,0.099118166,neutral
26,0.1559488,0.80764174,0.03640948,neutral
27,0.23169936,0.52317953,0.24512112,neutral
28,0.01858666,0.25415653,0.72725683,positive
29,0.5660195,0.32898763,0.104992926,negative
30,0.8916503,0.09944062,0.008909075,negative
31,0.82660335,0.1502524,0.023144318,negative
32,0.5273584,0.4504706,0.022170965,negative
33,0.7424816,0.2370421,0.02047629,negative
34,0.0661671,0.28179136,0.6520415,positive
35,0.0040734755,0.053002235,0.94292426,positive
36,0.0034516177,0.027612029,0.9689363,positive
37,0.005037901,0.014616094,0.980346,positive
38,0.0042675235,0.02517584,0.9705566,positive
39,0.89012855,0.099417895,0.010453561,negative
40,0.6762501,0.29226363,0.03148627,negative
41,0.056575995,0.17321356,0.7702104,positive
42,0.9077304,0.08459237,0.007677323,negative
43,0.33250326,0.56698775,0.10050896,neutral
44,0.86472034,0.12602444,0.009255171,negative
45,0.6078967,0.34251097,0.049592372,negative
46,0.0074554286,0.88306135,0.109483175,neutral
47,0.05536205,0.60253525,0.34210268,neutral
48,0.0064014485,0.047598865,0.94599974,positive
49,0.0363295,0.648809,0.31486148,neutral
50,0.069902465,0.33006382,0.6000337,positive
51,0.0038114467,0.017197756,0.9789908,positive
52,0.010981545,0.77412707,0.21489143,neutral
53,0.0056235692,0.046631232,0.94774514,positive
54,0.042443994,0.80814695,0.14940907,neutral
55,0.0062533263,0.1280857,0.86566097,positive
56,0.023388568,0.12458204,0.85202944,positive
57,0.05324515,0.266444,0.68031085,positive
58,0.0080694975,0.26722932,0.7247012,positive
59,0.15172368,0.6825078,0.16576855,neutral
60,0.17656374,0.3095369,0.5138993,positive
61,0.67149264,0.3046139,0.023893423,negative
62,0.27956954,0.6727329,0.04769758,neutral
63,0.68761957,0.24096245,0.07141801,negative
64,0.0036587177,0.02456474,0.9717765,positive
65,0.85176253,0.13830741,0.009930125,negative
66,0.017162552,0.19176802,0.79106945,positive
67,0.34637707,0.6184249,0.035198074,neutral
68,0.07250691,0.7627543,0.16473883,neutral
69,0.73349416,0.24952453,0.016981298,negative
70,0.0042692777,0.028769005,0.96696174,positive
71,0.00682067,0.052020174,0.9411591,positive
72,0.020647366,0.7136609,0.26569173,neutral
73,0.108407386,0.4225809,0.4690117,positive
74,0.0089595765,0.30646896,0.68457144,positive
75,0.0028448016,0.036210082,0.9609451,positive
76,0.34981728,0.5679682,0.08221446,neutral
77,0.02108059,0.15042327,0.82849616,positive
78,0.88326716,0.105316065,0.011416827,negative
79,0.004892882,0.02731276,0.9677943,positive
80,0.14417712,0.6803687,0.17545421,neutral
81,0.0052799117,0.046575602,0.9481445,positive
82,0.0016671966,0.0117065795,0.9866262,positive
83,0.023344327,0.2764937,0.70016193,positive
84,0.87326235,0.11381785,0.012919755,negative
85,0.07671621,0.76103854,0.16224521,neutral
86,0.0039784843,0.011928575,0.98409295,positive
87,0.8224429,0.1628934,0.014663727,negative
88,0.006127277,0.038181446,0.9556913,positive
89,0.0052699195,0.12924829,0.8654818,positive
90,0.018251104,0.4913668,0.49038202,neutral
91,0.6078967,0.34251097,0.049592372,negative
92,0.018726813,0.73817766,0.24309559,neutral
93,0.01174572,0.10305074,0.8852035,positive
94,0.05110603,0.725024,0.22387002,neutral
95,0.024173532,0.8791297,0.09669673,neutral
96,0.009008466,0.27100903,0.7199825,positive
97,0.005795619,0.036696542,0.9575078,positive
98,0.04818539,0.05948611,0.8923285,positive
99,0.0033931846,0.032247175,0.9643597,positive
