,negative,neutral,positive,class
0,0.8575192,0.11626169,0.026219063,negative
1,0.2105532,0.28111127,0.50833553,positive
2,0.008442256,0.027567653,0.9639901,positive
3,0.9389137,0.05152867,0.00955769,negative
4,0.84585637,0.13753153,0.016612077,negative
5,0.03164548,0.6083895,0.35996506,neutral
6,0.6718174,0.21904568,0.10913688,negative
7,0.8141731,0.16314352,0.022683345,negative
8,0.92137367,0.071236625,0.007389676,negative
9,0.87940776,0.110620715,0.009971534,negative
10,0.8986311,0.08777047,0.013598492,negative
11,0.72186273,0.17161421,0.10652304,negative
12,0.6551733,0.2773589,0.06746778,negative
13,0.60932434,0.239409,0.15126665,negative
14,0.9186721,0.071683735,0.009644146,negative
15,0.7993662,0.18294339,0.01769037,negative
16,0.55681175,0.24605808,0.19713016,negative
17,0.88902056,0.0970008,0.013978555,negative
18,0.27854216,0.1346986,0.58675927,positive
19,0.9016271,0.07714813,0.021224732,negative
20,0.5246589,0.21247278,0.2628683,negative
21,0.56143916,0.15838674,0.28017414,negative
22,0.8874346,0.09852566,0.014039755,negative
23,0.15947337,0.243804,0.59672266,positive
24,0.40073517,0.27816632,0.32109854,negative
25,0.8779922,0.11222622,0.00978153,negative
26,0.93488467,0.05791046,0.007204839,negative
27,0.025219757,0.29228708,0.68249315,positive
28,0.1837472,0.1213367,0.6949161,positive
29,0.8131699,0.13857506,0.048255086,negative
30,0.4601001,0.21576063,0.32413927,negative
31,0.82751656,0.14382894,0.028654492,negative
32,0.4287769,0.3962665,0.1749566,negative
33,0.8499519,0.12305556,0.026992505,negative
34,0.93063647,0.057042066,0.012321446,negative
35,0.0647893,0.098349266,0.8368614,positive
36,0.51525337,0.45901963,0.02572701,negative
37,0.9141427,0.07864104,0.007216156,negative
38,0.9168657,0.07501324,0.008121028,negative
39,0.46073025,0.27441067,0.2648591,negative
40,0.91626716,0.072770566,0.010962334,negative
41,0.7944551,0.1660644,0.03948042,negative
42,0.8737665,0.11208896,0.014144565,negative
43,0.93580925,0.052316293,0.011874496,negative
44,0.089587145,0.095315866,0.815097,positive
45,0.8920442,0.092893586,0.015062244,negative
46,0.8503859,0.113820754,0.035793323,negative
47,0.7218833,0.24484506,0.03327164,negative
48,0.7747789,0.185206,0.040015027,negative
49,0.81811094,0.1396078,0.042281173,negative
50,0.08842079,0.7671783,0.14440097,neutral
51,0.020868378,0.037636925,0.94149476,positive
52,0.9416189,0.051196557,0.0071845097,negative
53,0.89429957,0.0965713,0.009129161,negative
54,0.29562888,0.56908375,0.13528743,neutral
55,0.85937405,0.13032943,0.01029643,negative
56,0.81422687,0.13239217,0.05338096,negative
57,0.5481777,0.2625642,0.18925805,negative
58,0.69913733,0.21061268,0.09025004,negative
59,0.756242,0.1913453,0.052412733,negative
60,0.8587933,0.1272213,0.013985396,negative
61,0.24733771,0.2836948,0.46896744,positive
62,0.7868236,0.16241585,0.050760537,negative
63,0.5598986,0.29969868,0.14040272,negative
64,0.039782066,0.3766577,0.5835602,positive
65,0.82305205,0.13562915,0.041318826,negative
66,0.7192985,0.25372994,0.026971545,negative
67,0.10809926,0.7891396,0.102761135,neutral
68,0.22978652,0.24837573,0.5218377,positive
69,0.85426515,0.111775674,0.03395918,negative
70,0.7383188,0.13819991,0.123481296,negative
71,0.6284357,0.24390998,0.12765436,negative
72,0.8675132,0.11906407,0.013422756,negative
73,0.6111051,0.29129797,0.09759696,negative
74,0.9158945,0.07369719,0.010408332,negative
75,0.88438535,0.09072023,0.02489444,negative
76,0.93280125,0.057356473,0.009842287,negative
77,0.68515927,0.23067313,0.08416754,negative
78,0.8244783,0.13612247,0.039399244,negative
79,0.7298391,0.1625096,0.10765129,negative
80,0.8187983,0.16491531,0.016286395,negative
81,0.75077146,0.2032483,0.04598029,negative
82,0.006499259,0.01076424,0.98273647,positive
